number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
32,comme,none,"adv,conj","like, as","* Tony et moi, on est comme des frères -- Tony and I, we're like brothers","Tony et moi, on est comme des frères",8,"Tony and I, we're like brothers",87,49608,87 | 49608
33,ou,none,conj,or,* il en reste du café ou pas? -- is there some coffee left or not?,il en reste du café ou pas?,7,is there some coffee left or not?,86,49714,86 | 49714
34,si,none,"adv,conj,nmi","if, whether","* aujourd'hui, notre économie va si mal -- today our economy is going so poorly","aujourd'hui, notre économie va si mal",6,today our economy is going so poorly,87,46439,87 | 46439
35,leur,none,"det,adj(f),pro","them, their, theirs",* l'énergie solaire assurait leur survie -- solar energy assured their survival,l'énergie solaire assurait leur survie,5,solar energy assured their survival,87,39904,87 | 39904
36,y,none,"adv,nmi,pro",there,* c'est certain qu'on va y aller -- it's for certain that we'll be going there,c'est certain qu'on va y aller,6,it's for certain that we'll be going there,83,55889,83 | 55889
37,dire,Verbs of communication,"nm,v",to say,* je décrochais le téléphone sans rien dire à personne -- I picked up the telephone receiver without saying anything to anyone,je décrochais le téléphone sans rien dire à personne,9,I picked up the telephone receiver without saying anything to anyone,77,66657-n,77 | 66657-n
38,elle,none,pro,"she, her",* j'étais fou amoureux. elle m'aimait bien -- I was head-over-heels in love. she loved me a lot,j'étais fou amoureux. elle m'aimait bien,6,I was head-over-heels in love. she loved me a lot,78,66136,78 | 66136
39,devoir,none,"nm,v","to have to, owe; duty",* je dois travailler sans la moindre entrave -- I must work without the least bit of hindrance,je dois travailler sans la moindre entrave,7,I must work without the least bit of hindrance,83,46491,83 | 46491
40,avant,none,"adji,adv,nm,prep",before,* tu vas te pencher en avant -- you're going to lean forward,tu vas te pencher en avant,6,you're going to lean forward,94,14109,94 | 14109
41,deux,none,"det,nmi",two,* il prend le train deux fois par semaine pour affaires -- he takes the train on business twice per week,il prend le train deux fois par semaine pour affaires,10,he takes the train on business twice per week,87,31727,87 | 31727
42,même,none,"adj(f),adv,pro","same, even, self",* ils ne s'excusent même pas -- they don't even excuse themselves,ils ne s'excusent même pas,5,they don't even excuse themselves,85,37784,85 | 37784
43,prendre,Verbs of movement,v,to take,* elle lui prit la main -- she took him by the hand,elle lui prit la main,5,she took him by the hand,90,24323,90 | 24323
44,aussi,none,"adv,conj","too, also, as",* je rêvais aussi de beaucoup voyager -- I also dreamed of traveling a lot,je rêvais aussi de beaucoup voyager,6,I also dreamed of traveling a lot,88,26219,88 | 26219
45,celui,none,pro,"that, the one, he, him",* tu es celui que je respecte le plus -- you're the one I respect the most,tu es celui que je respecte le plus,8,you're the one I respect the most,87,28015,87 | 28015
46,donner,none,v,to give,* j'aurais donné ma vie pour lui -- I would have given my life for him,j'aurais donné ma vie pour lui,6,I would have given my life for him,90,19581,90 | 19581
47,bien,none,"adji,adv,nm",well,* tout va bien maintenant -- everything's going well now,tout va bien maintenant,4,everything's going well now,81,39477,81 | 39477
48,où,none,"adv,pro",where,* on ne dit pas où il vit -- they aren't saying where he lives,on ne dit pas où il vit,7,they aren't saying where he lives,87,27126,87 | 27126
49,fois,none,nf(pl),"time, times",* lève la main une fois -- raise your hand one time,lève la main une fois,5,raise your hand one time,92,15724,92 | 15724
50,vous,Word length,pro,you,"* ici, vous avez une personnalité publique -- here, you are a public personality","ici, vous avez une personnalité publique",6,"here, you are a public personality",65,77127-n +s,65 | 77127-n +s
51,encore,none,adv,"again, yet",* tu as encore menti à ta femme -- you lied once again to your wife,tu as encore menti à ta femme,7,you lied once again to your wife,89,19772,89 | 19772
52,nouveau,none,"adj,nm",new,* il a construit une nouvelle vie ici -- he made a new life for himself here,il a construit une nouvelle vie ici,7,he made a new life for himself here,88,22005,88 | 22005
53,aller,Verbs of movement,"nm,v",to go,"* tu devrais aller te coucher, tu as l'air vanné -- you should go to bed, you look wiped out","tu devrais aller te coucher, tu as l'air vanné",9,"you should go to bed, you look wiped out",73,50452,73 | 50452
54,cela,none,pro,"that, it",* cela demande de l'intégrité et du courage -- that requires integrity and courage,cela demande de l'intégrité et du courage,7,that requires integrity and courage,73,50891-n +s,73 | 50891-n +s
55,entre,none,prep,between,* je marche entre les maisons -- I'm walking between the houses,je marche entre les maisons,5,I'm walking between the houses,86,23028,86 | 23028
56,premier,none,"det,nadj",first,"* est-elle la première épouse, la deuxième? -- is she the first wife, the second one?","est-elle la première épouse, la deuxième?",6,"is she the first wife, the second one?",84,27061,84 | 27061
57,vouloir,none,"nm,v",to want,* tu veux faire ton chemin. c'est bien -- you want to continue on your way. that's OK,tu veux faire ton chemin. c'est bien,7,you want to continue on your way. that's OK,79,36467,79 | 36467
58,déjà,none,adv,already,* les rues étaient déjà pleines de monde -- the streets were already full of people,les rues étaient déjà pleines de monde,7,the streets were already full of people,93,11298,93 | 11298
59,grand,Emotions,"adv,nadj","great, big, tall",* tu es plus grand que je pensais -- you're taller than I thought,tu es plus grand que je pensais,7,you're taller than I thought,87,21583,87 | 21583
60,mon,none,det,my,* t'aurais pu rencontrer mon copain -- you could've met my buddy,t'aurais pu rencontrer mon copain,5,you could've met my buddy,70,55084-n,70 | 55084-n
61,me,none,pro,"me, to me, myself",* reviens me voir dans cinq ou six ans -- come back to see me in five or six years,reviens me voir dans cinq ou six ans,8,come back to see me in five or six years,65,63357-n,65 | 63357-n
62,moins,none,"adji(pl),adv,nm(pl),prep",less,* il avait moins d'excuses encore que ses complices -- he had even less excuses than his accomplices did,il avait moins d'excuses encore que ses complices,8,he had even less excuses than his accomplices did,90,14730,90 | 14730
63,aucun,none,"det,adj,pro","none, either, neither, not any",* trop d'argent et aucun goût -- too much money and no taste,trop d'argent et aucun goût,5,too much money and no taste,93,9641,93 | 9641
64,lui,none,pro,"him, her",* mais j'ai confiance qu'en lui -- but I have confidence in him,mais j'ai confiance qu'en lui,5,but I have confidence in him,75,38286,75 | 38286
65,temps,Time,nm(pl),time,"* sur le plan spirituel, le temps n'existe pas -- on the spiritual level, time does not exist","sur le plan spirituel, le temps n'existe pas",8,"on the spiritual level, time does not exist",86,20420,86 | 20420
