number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
508,bout,none,nm,"bit, tip, end",* ils marchèrent en silence jusqu'au bout de la rue -- they walked in silence to the end of the street,ils marchèrent en silence jusqu'au bout de la rue,9,they walked in silence to the end of the street,79,3216,79 | 3216
509,population,Creating nouns – 2,nf,population,* une partie de la population s'enfonce dans la précarité -- part of the population is sliding into precariousness,une partie de la population s'enfonce dans la précarité,9,part of the population is sliding into precariousness,73,4303,73 | 4303
510,toi,none,"nm,pro","you, yourself","* on est là, toi et moi, deux types ordinaires -- here we are, you and me, two ordinary guys","on est là, toi et moi, deux types ordinaires",9,"here we are, you and me, two ordinary guys",52,8956-n +s,52 | 8956-n +s
511,responsable,Emotions,nadj(f),responsible,* je ne suis pas le seul responsable -- I'm not the only one responsible,je ne suis pas le seul responsable,7,I'm not the only one responsible,69,4952,69 | 4952
512,route,none,nf,road,* le reste de la route était en construction -- the rest of the road was under construction,le reste de la route était en construction,8,the rest of the road was under construction,79,3214,79 | 3214
513,tôt,none,"adji,adv",early,"* plus tôt on partira, mieux ce sera -- the sooner we leave, the better it will be","plus tôt on partira, mieux ce sera",7,"the sooner we leave, the better it will be",85,2124,85 | 2124
514,lancer,none,"nm,v","to throw, launch",* je lance des mots au hasard -- I toss out words at random,je lance des mots au hasard,6,I toss out words at random,76,3557,76 | 3557
515,limite,none,nf,limit,* elle atteint les limites de ses possibilités -- she's reaching the limit of her possibilities,elle atteint les limites de ses possibilités,7,she's reaching the limit of her possibilities,86,1994,86 | 1994
516,fonction,Creating nouns – 2,nf,function,* vous êtes relevé de vos fonctions -- you are relieved of your functions,vous êtes relevé de vos fonctions,6,you are relieved of your functions,70,4808,70 | 4808
517,emploi,none,nm,"employment, work, use",* leur emploi exige qu'ils fournissent leurs propres outils -- their work requires use of their own tools,leur emploi exige qu'ils fournissent leurs propres outils,8,their work requires use of their own tools,66,5590,66 | 5590
518,objectif,Emotions,"adj,nm","objective, aim, goal; lens",* je ne me suis jamais fixé d'objectifs précis -- I never set definite goals for myself,je ne me suis jamais fixé d'objectifs précis,8,I never set definite goals for myself,74,3962,74 | 3962
519,paraître,none,v,to appear,* il paraît qu'il est à la bibliothèque maintenant -- it appears that he's at the library now,il paraît qu'il est à la bibliothèque maintenant,8,it appears that he's at the library now,75,3805,75 | 3805
520,journal,none,nm,"newspaper, paper",* je vais acheter le journal pour ma mère -- I'm going to buy the newspaper for my mother,je vais acheter le journal pour ma mère,8,I'm going to buy the newspaper for my mother,78,3296,78 | 3296
521,annoncer,Verbs – differences across registers,v,to announce,* l'année 1993 s'annonce donc difficile -- 1993 is hence showing to be a difficult year,l'année 1993 s'annonce donc difficile,5,1993 is hence showing to be a difficult year,63,6147,63 | 6147
522,lui-même,none,pro,himself,* il ne s'est pas sauvé lui-même -- he didn't save himself,il ne s'est pas sauvé lui-même,6,he didn't save himself,76,3563,76 | 3563
523,tour,none,"nm,nf",tower; turn; tour,* je passais ma vie à faire le tour du monde -- I spent my life touring the world,je passais ma vie à faire le tour du monde,10,I spent my life touring the world,75,3738,75 | 3738
524,voilà,none,prep,"right, there, here","* tiens, c'est pour toi. voilà -- here, this is for you. take it","tiens, c'est pour toi. voilà",5,"here, this is for you. take it",68,5135-n,68 | 5135-n
525,volonté,none,nf,will,"* par ta seule volonté, tu peux le faire -- with your willpower alone, you can do it","par ta seule volonté, tu peux le faire",8,"with your willpower alone, you can do it",84,2345,84 | 2345
526,envoyer,none,v,to send,* les deux femmes envoyèrent la lettre -- the two women sent the letter,les deux femmes envoyèrent la lettre,6,the two women sent the letter,74,3946,74 | 3946
527,partager,none,v,to share,* je ne peux pas te partager -- I can't share you,je ne peux pas te partager,6,I can't share you,83,2458,83 | 2458
528,puisque,none,conj,since,* je ne lui répondais pas puisque j'étais muet -- I didn't answer him since I was a mute,je ne lui répondais pas puisque j'étais muet,8,I didn't answer him since I was a mute,82,2615,82 | 2615
529,établir,none,v,to establish,"* avant d'attaquer, établissons les règles -- before we attack, let's establish the ground rules","avant d'attaquer, établissons les règles",5,"before we attack, let's establish the ground rules",74,3929,74 | 3929
530,changement,none,nm,change,* nous savons qu'il faut effectuer des changements -- we know that changes must be made,nous savons qu'il faut effectuer des changements,7,we know that changes must be made,79,3154,79 | 3154
531,garder,none,v,to keep,* je la gardais dans mes bras -- I held her in my arms,je la gardais dans mes bras,6,I held her in my arms,78,3200,78 | 3200
532,réalité,none,nf,reality,* c'est un rêve devenu réalité pour plusieurs -- for several it's a dream come true,c'est un rêve devenu réalité pour plusieurs,7,for several it's a dream come true,79,3021,79 | 3021
533,interdire,Verbs of communication,v,"to forbid, prohibit, ban",* je m'interdis d'écrire et de prononcer votre nom -- I forbid myself to write or speak your name,je m'interdis d'écrire et de prononcer votre nom,8,I forbid myself to write or speak your name,87,1798,87 | 1798
534,finir,none,v,to finish,* je dois finir de nettoyer les droïdes -- I have to finish cleaning the droids,je dois finir de nettoyer les droïdes,7,I have to finish cleaning the droids,71,4563,71 | 4563
535,placer,none,"nm,v",to place,* la famille a été placée en détention -- the family was placed in detention,la famille a été placée en détention,7,the family was placed in detention,84,2297,84 | 2297
536,sentir,none,v,"to feel, smell",* tu ne sens pas son parfum? -- you don't smell her perfume?,tu ne sens pas son parfum?,6,you don't smell her perfume?,66,5339-n,66 | 5339-n
537,payer,none,v,to pay,* c'est moi qui paie votre salaire -- I'm the one who pays your salary,c'est moi qui paie votre salaire,6,I'm the one who pays your salary,74,3957,74 | 3957
538,esprit,Body,nm,"mind, spirit","* t'as l'esprit vif, toi -- you've got a quick mind","t'as l'esprit vif, toi",4,you've got a quick mind,76,3547,76 | 3547
539,domaine,none,nm,"domain, field","* là, nous sommes dans le domaine de l'expérience mystique -- there we enter the realm of mystical experiences","là, nous sommes dans le domaine de l'expérience mystique",9,there we enter the realm of mystical experiences,73,4152,73 | 4152
540,diriger,none,v,"to lead, direct",* nous ne sommes dirigés que par nos désirs -- we are only led by our desires,nous ne sommes dirigés que par nos désirs,8,we are only led by our desires,85,2084,85 | 2084
541,noter,Verbs of communication,v,"to note, notice",* tu as tout noté? -- did you note everything?,tu as tout noté?,4,did you note everything?,85,2109,85 | 2109
542,nature,Creating nouns – 1,nf,nature,* vous venez de découvrir votre vraie nature -- you have just discovered your true nature,vous venez de découvrir votre vraie nature,7,you have just discovered your true nature,82,2571,82 | 2571
543,régime,none,nm,regime,"* Pravda, la voix de l'ancien régime communiste, ferme ses portes -- Pravda, the voice of the former communist regime, is shutting down","Pravda, la voix de l'ancien régime communiste, ferme ses portes",10,"Pravda, the voice of the former communist regime, is shutting down",66,5302,66 | 5302
544,charger,none,v,"to load, charge",* le juge chargé du dossier refuse de convoquer le maire -- the judge assigned to the case refuses to summon the mayor,le juge chargé du dossier refuse de convoquer le maire,10,the judge assigned to the case refuses to summon the mayor,81,2662,81 | 2662
545,court,none,"adj,adv,nm",short,"* j'inscris mes objectifs long terme, court terme -- I wrote my short-term and long-term goals","j'inscris mes objectifs long terme, court terme",7,I wrote my short-term and long-term goals,83,2356,83 | 2356
546,parent,Family,nadj,parent,* il faudrait que je te présente mes parents -- I will have to introduce you to my parents,il faudrait que je te présente mes parents,8,I will have to introduce you to my parents,82,2454,82 | 2454
547,tomber,Verbs of movement,v,to fall,"* il s'arrêta, tomba à genoux pour remercier Dieu -- he stopped, fell to his knees to thank God","il s'arrêta, tomba à genoux pour remercier Dieu",8,"he stopped, fell to his knees to thank God",73,3963,73 | 3963
548,départ,none,nm,departure,* on avait les heures de départ et les heures d'arrivée -- we had the departure and arrival times,on avait les heures de départ et les heures d'arrivée,10,we had the departure and arrival times,77,3382,77 | 3382
549,mondial,none,adj,"world, global",* nous vivons dans une économie mondiale qui évolue très rapidement -- we live in a rapidly evolving global economy,nous vivons dans une économie mondiale qui évolue très rapidement,10,we live in a rapidly evolving global economy,72,4138,72 | 4138
550,entraîner,none,v,"to carry along, train",* tu es trop jeune pour t'entraîner -- you're too young to receive training,tu es trop jeune pour t'entraîner,6,you're too young to receive training,85,2097,85 | 2097
551,disposer,none,v,"to arrange, set",* la France dispose d'unités navales basées à Djibouti -- France has naval units based in Djibouti,la France dispose d'unités navales basées à Djibouti,8,France has naval units based in Djibouti,80,2817,80 | 2817
552,parole,none,nf,word,"* je regrette mes paroles, moi aussi -- I regret my words too","je regrette mes paroles, moi aussi",6,I regret my words too,75,3677,75 | 3677
553,fond,none,nm,bottom,* le fond des cœurs ne change pas -- the deepest part of the heart doesn't change,le fond des cœurs ne change pas,7,the deepest part of the heart doesn't change,78,3073,78 | 3073
554,publique,Emotions,"adj,nf",public,* la morale publique ne peut être sacrifiée au progrès -- public morals can't be sacrificed for progress,la morale publique ne peut être sacrifiée au progrès,9,public morals can't be sacrificed for progress,74,3815,74 | 3815
555,faux,Emotions,"adv,adj(pl),nm(pl),nf(pl)",false; scythe,* ce ne sont pas là de fausses accusations -- these aren't false accusations,ce ne sont pas là de fausses accusations,8,these aren't false accusations,86,1845,86 | 1845
556,genre,none,nm,"type, kind, sort",* je dénonce ce genre de choses -- I denounce this type of thing,je dénonce ce genre de choses,6,I denounce this type of thing,76,3469,76 | 3469
557,retenir,none,v,"to retain, hold back, remember","* depuis ma blessure, je ne retiens rien -- since my injury I can't remember anything","depuis ma blessure, je ne retiens rien",7,since my injury I can't remember anything,86,1781,86 | 1781
558,communauté,none,nf,community,* la communauté internationale l'a en grande partie rejeté -- the international community largely rejected it,la communauté internationale l'a en grande partie rejeté,8,the international community largely rejected it,68,4811,68 | 4811
559,intéresser,none,v,"to interest, involve",* leur avis ne m'intéresse pas -- their advice doesn't interest me,leur avis ne m'intéresse pas,5,their advice doesn't interest me,81,2515,81 | 2515
560,c'est-à-dire,none,adv,in other words,"* il s'agit de vivre, c'est-à-dire d'avancer -- it's about living, or in other words about progressing","il s'agit de vivre, c'est-à-dire d'avancer",6,"it's about living, or in other words about progressing",78,3100,78 | 3100
561,corps,none,nm(pl),body,* tout mon corps en était secoué -- my whole body was shaken,tout mon corps en était secoué,6,my whole body was shaken,76,3472,76 | 3472
562,matière,none,nf,"matter, subject, material",* la matière est parfaite pour les peaux sensibles -- the material is perfect for sensitive skin,la matière est parfaite pour les peaux sensibles,8,the material is perfect for sensitive skin,73,3945,73 | 3945
563,sein,Body,nm,"breast, bosom",* le cancer du sein est rare chez l'homme -- breast cancer is rare in men,le cancer du sein est rare chez l'homme,8,breast cancer is rare in men,80,2759,80 | 2759
564,difficulté,none,nf,difficulty,* j'avais quelque difficulté à lui parler -- it was somewhat difficult for me to talk to him,j'avais quelque difficulté à lui parler,6,it was somewhat difficult for me to talk to him,81,2576,81 | 2576
565,parvenir,none,v,"to reach, achieve",* je suis content d'être parvenu au bout -- I am happy to have reached the end,je suis content d'être parvenu au bout,7,I am happy to have reached the end,84,2133,84 | 2133
566,secteur,none,nm,sector,* la police a décrété le secteur «zone interdite» -- the police declared the area off-limits,la police a décrété le secteur «zone interdite»,8,the police declared the area off-limits,67,4928,67 | 4928
567,appel,none,nm,call,* il a reçu des appels téléphoniques menaçants -- he received menacing telephone calls,il a reçu des appels téléphoniques menaçants,7,he received menacing telephone calls,65,5345+n,65 | 5345+n
568,cœur,Body,nm,heart,* j'aimerais vous féliciter du fond du cœur -- I would like to congratulate you from the depths of my heart,j'aimerais vous féliciter du fond du cœur,7,I would like to congratulate you from the depths of my heart,72,4042,72 | 4042
569,père,Family,nm,father,* je suis père célibataire -- I'm an unwed father 8667,je suis père célibataire,4,I'm an unwed father 8667,65,5263,65 | 5263
570,organisation,Creating nouns – 2,nf,organisation,"* plus grande devient l'organisation, plus il y a de règles -- the bigger the organization grows, the more rules there are","plus grande devient l'organisation, plus il y a de règles",10,"the bigger the organization grows, the more rules there are",72,4077,72 | 4077
571,unité,none,nf,unity; unit,* vous partez inspecter nos unités de désinfection -- you are leaving to inspect our disinfection units,vous partez inspecter nos unités de désinfection,7,you are leaving to inspect our disinfection units,81,2536,81 | 2536
572,noir,Colors,nadj,black,* seule la police roule en noir et blanc? -- only the police drive black-and-white vehicles?,seule la police roule en noir et blanc?,8,only the police drive black-and-white vehicles?,74,3652,74 | 3652
573,événement,none,nm,event,* je me souviens de ces événements avec précision -- I remember those events in great detail,je me souviens de ces événements avec précision,8,I remember those events in great detail,83,2300,83 | 2300
574,double,none,nadj(f),double,* on parle beaucoup de la double peine pour les délinquants étrangers -- there's much talk about doubling sentences for foreign delinquents,on parle beaucoup de la double peine pour les délinquants étrangers,11,there's much talk about doubling sentences for foreign delinquents,90,1303,90 | 1303
575,convaincre,Verbs of communication,v,to convince,"* c'est bon, tu m'as convaincue -- OK, you convinced me","c'est bon, tu m'as convaincue",5,"OK, you convinced me",86,1742,86 | 1742
576,nation,Creating nouns – 2,nf,nation,* elle bouscule sérieusement les droits des nations -- it is seriously undermining the rights of nations,elle bouscule sérieusement les droits des nations,7,it is seriously undermining the rights of nations,76,3343,76 | 3343
577,conseil,none,nm,"advice, counsel, council",* les militaires ont formé un Conseil de salut national -- the military formed a National Salvation Council,les militaires ont formé un Conseil de salut national,9,the military formed a National Salvation Council,76,3399,76 | 3399
578,soutenir,none,v,"to sustain, support",* nous avons été nombreux à soutenir son innocence -- many of us supported his innocence,nous avons été nombreux à soutenir son innocence,8,many of us supported his innocence,80,2732,80 | 2732
579,paix,none,nf(pl),peace,* laissez ma famille en paix -- leave my family in peace,laissez ma famille en paix,5,leave my family in peace,73,3783,73 | 3783
580,nuit,Time,nf,night,* je n'ai pas dormi cette nuit -- I didn't sleep last night,je n'ai pas dormi cette nuit,6,I didn't sleep last night,67,4874,67 | 4874
581,partout,none,adv,everywhere,* je t'ai cherché partout -- I looked everywhere for you,je t'ai cherché partout,4,I looked everywhere for you,83,2191,83 | 2191
582,direction,Creating nouns – 2,nf,"direction, management",* je n'osais aller dans cette direction -- I didn't dare go in this direction,je n'osais aller dans cette direction,6,I didn't dare go in this direction,79,2847,79 | 2847
583,manquer,none,v,to miss,"* la Chine manque d'argent, et manque de savants -- China lacks money and scholars","la Chine manque d'argent, et manque de savants",8,China lacks money and scholars,79,2767,79 | 2767
584,actuel,none,adj,"current, present",* les gens ont peur du gouvernement actuel -- people fear the current government,les gens ont peur du gouvernement actuel,7,people fear the current government,72,3949,72 | 3949
585,opposer,none,v,to oppose,* comment peut-il maintenant s'y opposer? -- how could he oppose it now?,comment peut-il maintenant s'y opposer?,5,how could he oppose it now?,80,2654,80 | 2654
586,signifier,Verbs of communication,v,to mean,* cela ne signifiait rien pour moi -- that didn't mean anything to me,cela ne signifiait rien pour moi,6,that didn't mean anything to me,87,1615,87 | 1615
587,journée,Time,nf,day,* j'ai attendu toute la journée pour te voir -- I waited all day to see you,j'ai attendu toute la journée pour te voir,8,I waited all day to see you,72,3849,72 | 3849
588,d'ailleurs,none,adv,"moreover, besides, for that matter","* je n'entends d'ailleurs pas le tenir secret -- besides, I don't intend to keep it a secret",je n'entends d'ailleurs pas le tenir secret,7,"besides, I don't intend to keep it a secret",77,3086,77 | 3086
589,traiter,none,v,"to treat, handle, deal with","* deux chapitres, enfin, traitent de la question -- two chapters, at last, address the issue","deux chapitres, enfin, traitent de la question",7,"two chapters, at last, address the issue",78,2860,78 | 2860
590,indiquer,Verbs – differences across registers,v,"to indicate, signal",* le contrôleur indique qu'il est prêt -- the controller signals readiness,le contrôleur indique qu'il est prêt,6,the controller signals readiness,61,5804+n,61 | 5804+n
591,tuer,none,v,to kill,"* les fusils, ça tue -- rifles kill","les fusils, ça tue",4,rifles kill,64,5298,64 | 5298
592,technique,none,nadj(f),"technique, technics, technical",* parlons un peu de votre technique -- let's talk a little about your technique,parlons un peu de votre technique,6,let's talk a little about your technique,78,2856,78 | 2856
593,rapidement,none,adv,"quickly, rapidly",* ils ont passé rapidement dans l'histoire -- they disappeared quickly into history,ils ont passé rapidement dans l'histoire,6,they disappeared quickly into history,85,1894,85 | 1894
594,autour,none,"adv,nm",around,* je t'emmènerai autour du monde -- I'll take you around the world,je t'emmènerai autour du monde,5,I'll take you around the world,77,3008,77 | 3008
595,réduire,none,v,to reduce,* tu réduis les aliments graisseux et le chocolat -- you reduce your intake of fatty foods and chocolate,tu réduis les aliments graisseux et le chocolat,8,you reduce your intake of fatty foods and chocolate,73,3705,73 | 3705
596,d'après,none,prep,to,"* qui a bâti les pyramides d'après vous? -- according to you, who built the pyramids?",qui a bâti les pyramides d'après vous?,7,"according to you, who built the pyramids?",90,1183,90 | 1183
597,préférer,none,v,to prefer,* préférez-vous que j'appelle la police? -- would you prefer that I call the police?,préférez-vous que j'appelle la police?,5,would you prefer that I call the police?,83,2174,83 | 2174
598,rue,Transportation,nf,street,"* je me promenais dans les rues, seule -- I strolled alone down the streets","je me promenais dans les rues, seule",7,I strolled alone down the streets,76,3185,76 | 3185
599,riche,Emotions,nadj(f),rich,"* elle est jolie, riche, mince ... et amoureuse de mon mari -- she is cute, rich, thin ... and in love with my husband","elle est jolie, riche, mince ... et amoureuse de mon mari",11,"she is cute, rich, thin ... and in love with my husband",87,1522,87 | 1522
600,bref,none,"adj,adv,nm",brief,* le rapport était bref et précis -- the report was brief and precise,le rapport était bref et précis,6,the report was brief and precise,87,1603,87 | 1603
601,nommer,Verbs of communication,v,"to call, name, appoint",* ses membres sont nommés par le premier ministre -- its members are appointed by the prime minister,ses membres sont nommés par le premier ministre,8,its members are appointed by the prime minister,86,1644,86 | 1644
602,violence,none,nf,violence,* la violence a fait six nouveaux morts -- the violence killed six people,la violence a fait six nouveaux morts,7,the violence killed six people,81,2461,81 | 2461
603,siècle,Time,nm,century,* le XXe siècle a fait plus de martyrs chrétiens -- the 20th century created more Christian martyrs,le XXe siècle a fait plus de martyrs chrétiens,9,the 20th century created more Christian martyrs,76,3105,76 | 3105
604,article,none,nm,article,* vous m'avez convaincue de finir l'article -- you convinced me to finish the article,vous m'avez convaincue de finir l'article,6,you convinced me to finish the article,65,4867+s,65 | 4867+s
605,durer,none,v,to last,* voilà quinze jours que ça dure -- this has lasted two weeks,voilà quinze jours que ça dure,6,this has lasted two weeks,86,1693,86 | 1693
606,qualité,none,nf,quality,* Renaud est quelqu'un d'une grande qualité humaine -- Renaud is someone with great human qualities,Renaud est quelqu'un d'une grande qualité humaine,7,Renaud is someone with great human qualities,76,3052,76 | 3052
607,gauche,none,nadj(f),left,* elle écrit de gauche à droite -- she writes from left to right,elle écrit de gauche à droite,6,she writes from left to right,79,2604,79 | 2604
608,solution,Creating nouns – 2,nf,solution,* il n'existe pas de solution miracle -- there's no miracle solution,il n'existe pas de solution miracle,6,there's no miracle solution,76,3043,76 | 3043
609,voie,Transportation,nf,"road, lane, route, track, way","* il a toujours suivi sa voie, ton père -- your father has always followed his own way","il a toujours suivi sa voie, ton père",8,your father has always followed his own way,69,4187,69 | 4187
610,capable,Emotions,adj(f),"able, capable",* je ne suis pas capable de répondre à votre question -- I'm not capable of responding to your question,je ne suis pas capable de répondre à votre question,10,I'm not capable of responding to your question,85,1869,85 | 1869
611,canadien,Nationalities,nadj,Canadian,* 75 p. 100 des Canadiens et des Canadiennes sont en bonne santé mentale -- 75% of male and female Canadians are in good mental health,75 p. 100 des Canadiens et des Canadiennes sont en bonne santé mentale,13,75% of male and female Canadians are in good mental health,47,8624-l -n +s,47 | 8624-l -n +s
612,erreur,none,nf,"mistake, error",* certaines erreurs ont été commises -- certain mistakes were made,certaines erreurs ont été commises,5,certain mistakes were made,79,2704,79 | 2704
613,livrer,none,v,to deliver,* je pensais te faire livrer un plat chaud -- I thought I would have a hot plate delivered to you,je pensais te faire livrer un plat chaud,8,I thought I would have a hot plate delivered to you,89,1257,89 | 1257
614,auprès,none,adv,"nearby, close to",* il avait beaucoup de succès auprès des femmes -- he had much success with women,il avait beaucoup de succès auprès des femmes,8,he had much success with women,83,2114,83 | 2114
615,simplement,Adverbs – differences across registers,adv,simply,* c'est tout simplement inacceptable -- it's just simply unacceptable,c'est tout simplement inacceptable,4,it's just simply unacceptable,76,3132,76 | 3132
616,souvenir,none,"nm,v",memory; to remember,* je ne veux me souvenir de rien -- I don't remember anything,je ne veux me souvenir de rien,7,I don't remember anything,73,3468,73 | 3468
617,conséquence,none,nf,consequence,* il y a donc des conséquences extrêmement sérieuses -- hence there are extremely serious consequences,il y a donc des conséquences extrêmement sérieuses,8,hence there are extremely serious consequences,79,2598,79 | 2598
618,large,none,"adj(f),adv,nm","wide, width",* tes yeux sont devenus plus larges -- your eyes got wider,tes yeux sont devenus plus larges,6,your eyes got wider,83,2025,83 | 2025
619,contraire,Emotions,nadj(f),"opposite, contrary",* mais le contraire est vrai aussi -- but the opposite is also true,mais le contraire est vrai aussi,6,but the opposite is also true,80,2529,80 | 2529
620,succès,none,nm(pl),success,* le succès prouve que mes livres avaient du mérite -- the success proves that my books were worthwhile,le succès prouve que mes livres avaient du mérite,9,the success proves that my books were worthwhile,82,2210,82 | 2210
621,élément,none,nm,element,* trois éléments d'information présentent un intérêt particulier -- three items of information are particularly interesting,trois éléments d'information présentent un intérêt particulier,7,three items of information are particularly interesting,75,3181,75 | 3181
622,local,none,nadj,local,* nous respectons l'autonomie de chaque groupe local -- we respect the autonomy of each local group,nous respectons l'autonomie de chaque groupe local,7,we respect the autonomy of each local group,67,4422,67 | 4422
623,été,Time,nm,summer,* l'été constitue le pic de la consommation d'essence -- summer is the peak season for gas consumption,l'été constitue le pic de la consommation d'essence,8,summer is the peak season for gas consumption,89,1233,89 | 1233
624,inviter,Verbs of communication,v,to invite,"* un soir, ils m'invitent à dîner -- one night, they invite me to supper","un soir, ils m'invitent à dîner",6,"one night, they invite me to supper",84,1951,84 | 1951
625,extérieur,none,nadj,exterior,* la porte extérieure s'ouvre -- the outer door opens,la porte extérieure s'ouvre,4,the outer door opens,81,2269,81 | 2269
626,pied,Body,nm,foot,* tu n'iras pas assez vite à pied -- you won't get there as fast on foot,tu n'iras pas assez vite à pied,7,you won't get there as fast on foot,74,3304,74 | 3304
627,mission,Creating nouns – 2,nf,mission,"* si quelqu'un apprend notre mission, on échoue -- if anyone learns about our mission, we'll fail","si quelqu'un apprend notre mission, on échoue",7,"if anyone learns about our mission, we'll fail",81,2259,81 | 2259
628,débat,none,nm,debate,* il voulait simplement contribuer au débat -- he simply wanted to contribute to the debate,il voulait simplement contribuer au débat,6,he simply wanted to contribute to the debate,61,5373+s,61 | 5373+s
629,fille,Family,nf,"girl, daughter",* c'est une jeune fille de seize ans -- she's a young girl of sixteen years,c'est une jeune fille de seize ans,7,she's a young girl of sixteen years,65,4669,65 | 4669
630,répéter,Verbs of communication,v,to repeat,* ce rêve se répète sans cesse -- this dream keeps repeating,ce rêve se répète sans cesse,6,this dream keeps repeating,81,2225,81 | 2225
631,texte,none,nm,text,* je donne un texte et l'artiste intervient comme il veut -- I give a text and the artist adapts it as necessary,je donne un texte et l'artiste intervient comme il veut,10,I give a text and the artist adapts it as necessary,70,3929,70 | 3929
632,profiter,none,v,"to take advantage, profit",* je profitais de ces derniers jours de vraies vacances -- I took advantage of these last days of real vacation,je profitais de ces derniers jours de vraies vacances,9,I took advantage of these last days of real vacation,84,1822,84 | 1822
633,chambre,none,nf,"bedroom, chamber",* avant d'entrer dans la chambre de mon fils j'entrai dans la mienne -- before going into my son's bedroom I went into my own,avant d'entrer dans la chambre de mon fils j'entrai dans la mienne,12,before going into my son's bedroom I went into my own,73,3447,73 | 3447
634,création,Creating nouns – 2,nf,creation,* nous nous battons depuis la création de notre parti -- we have been fighting since the creation of our party,nous nous battons depuis la création de notre parti,9,we have been fighting since the creation of our party,78,2716,78 | 2716
635,prouver,Verbs of communication,v,to prove,* je n'ai rien besoin de prouver à qui que ce soit -- I have no need to prove anything to anybody at all,je n'ai rien besoin de prouver à qui que ce soit,11,I have no need to prove anything to anybody at all,89,1279,89 | 1279
636,acheter,none,v,to buy,* achetez vos billets à un revendeur agréé -- buy your tickets from an approved reseller,achetez vos billets à un revendeur agréé,7,buy your tickets from an approved reseller,83,2047,83 | 2047
637,justice,none,nf,justice,* vous rendrez la justice de manière impartiale -- you will render justice in an impartial way,vous rendrez la justice de manière impartiale,7,you will render justice in an impartial way,70,3840,70 | 3840
638,production,Creating nouns – 2,nf,production,* ce serait une maison de production plutôt qu'une société -- it would be a factory rather than a company,ce serait une maison de production plutôt qu'une société,9,it would be a factory rather than a company,70,3841,70 | 3841
639,ignorer,none,v,to ignore,* j'ignorais pourquoi il jurait comme ça -- I didn't know why he was swearing like that,j'ignorais pourquoi il jurait comme ça,6,I didn't know why he was swearing like that,85,1706,85 | 1706
640,directeur,Creating nouns – 1,nadj,director,* j'ai recu un mot du directeur -- I received a note from the director,j'ai recu un mot du directeur,6,I received a note from the director,75,3074,75 | 3074
641,santé,none,nf,health,* il est en bonne santé -- he's in good health,il est en bonne santé,5,he's in good health,62,5116+s,62 | 5116+s
642,souffrir,none,v,to suffer,"* elle n'a pas souffert, elle s'est endormie -- she didn't suffer, she fell asleep","elle n'a pas souffert, elle s'est endormie",7,"she didn't suffer, she fell asleep",83,1934,83 | 1934
643,précis,Emotions,nadj(pl),precise,* c'est à cet instant précis que je suis devenu adulte -- at that precise moment I became an adult,c'est à cet instant précis que je suis devenu adulte,10,at that precise moment I became an adult,85,1684,85 | 1684
644,fixer,none,v,"to fix, arrange, set",* nous avons fixé une date limite -- we set a deadline,nous avons fixé une date limite,6,we set a deadline,82,2105,82 | 2105
645,mère,Family,"adj,nf",mother,* peut-être que tous les enfants déçoivent leur mère -- perhaps all children disappoint their mother,peut-être que tous les enfants déçoivent leur mère,8,perhaps all children disappoint their mother,65,4595,65 | 4595
646,croissance,none,nf,growth,* les taux de croissance ont été importants -- the growth rates were substantial,les taux de croissance ont été importants,7,the growth rates were substantial,78,2657,78 | 2657
647,risque,none,nm,risk,* vous prenez de sacrés risques -- you're taking huge risks,vous prenez de sacrés risques,5,you're taking huge risks,81,2236,81 | 2236
648,arme,none,nf,weapon,* je suis un trafiquant d'armes -- I'm an arms dealer,je suis un trafiquant d'armes,5,I'm an arms dealer,73,3294,73 | 3294
649,estimer,none,v,"to estimate; to consider, deem",* j'estime que cela est inadmissible -- I consider this to be inexcusable,j'estime que cela est inadmissible,5,I consider this to be inexcusable,65,4560,65 | 4560
650,endroit,none,nm,"place, spot",* on aime vraiment cet endroit -- we really like this place,on aime vraiment cet endroit,5,we really like this place,79,2442,79 | 2442
651,comité,none,nm,committee,* les délibérations des comités peuvent être enregistrées -- committee deliberations may be recorded,les délibérations des comités peuvent être enregistrées,7,committee deliberations may be recorded,56,6128+s,56 | 6128+s
652,impossible,Emotions,nadj(f),impossible,* je peux te rendre la vie impossible -- I can make life impossible for you,je peux te rendre la vie impossible,7,I can make life impossible for you,84,1823,84 | 1823
653,preuve,none,nf,proof,"* vous nous donnez les preuves, et nous vous protégeons à vie -- you give us the proof, and we'll protect you for the rest of your life","vous nous donnez les preuves, et nous vous protégeons à vie",11,"you give us the proof, and we'll protect you for the rest of your life",79,2495,79 | 2495
654,véritable,none,adj(f),"real, true",* les véritables coupables restaient en liberté -- the true guilty parties remained free,les véritables coupables restaient en liberté,6,the true guilty parties remained free,81,2210,81 | 2210
655,amener,Verbs of movement,v,to bring,* on pourrait les amener à changer leurs habitudes -- we could bring them to change their habits,on pourrait les amener à changer leurs habitudes,8,we could bring them to change their habits,83,1943,83 | 1943
656,viser,none,v,to aim,* quel but visez-vous en thérapie bioénergétique? -- what's your goal with biofeedback therapy?,quel but visez-vous en thérapie bioénergétique?,6,what's your goal with biofeedback therapy?,70,3695,70 | 3695
657,retirer,none,v,"to remove, withdraw",* j'aimerais qu'il retire ce qu'il a dit -- I want him to take back what he said,j'aimerais qu'il retire ce qu'il a dit,7,I want him to take back what he said,84,1815,84 | 1815
